"LB-9204 : device 1 status (SN4, COM 1), set on to retry connection",Local HMI,LB,9204,,16-bit Unsigned,Supported
"LB-9205 : device 1 status (SN5, COM 1), set on to retry connection",Local HMI,LB,9205,,16-bit Unsigned,Supported
"LB-9206 : device 1 status (SN6, COM 1), set on to retry connection",Local HMI,LB,9206,,16-bit Unsigned,Supported
"LB-9207 : device 1 status (SN7, COM 1), set on to retry connection",Local HMI,LB,9207,,16-bit Unsigned,Supported
"LB-9455 : device 1 status (SN255, COM1), set on to retry connection",Local HMI,LB,9455,,16-bit Unsigned,Supported
LB-9460 : EM0's storage device (SD card) does not exist (when ON),Local HMI,LB,9460,,16-bit Unsigned,Unsupported
LB-9461 : EM1's storage device (SD card) does not exist (when ON),Local HMI,LB,9461,,16-bit Unsigned,Unsupported
LB-9462 : EM2's storage device (SD card) does not exist (when ON),Local HMI,LB,9462,,16-bit Unsigned,Unsupported
LB-9463 : EM3's storage device (SD card) does not exist (when ON),Local HMI,LB,9463,,16-bit Unsigned,Unsupported
LB-9464 : EM4's storage device (SD card) does not exist (when ON),Local HMI,LB,9464,,16-bit Unsigned,Unsupported
LB-9465 : EM5's storage device (SD card) does not exist (when ON),Local HMI,LB,9465,,16-bit Unsigned,Unsupported
LB-9466 : EM6's storage device (SD card) does not exist (when ON),Local HMI,LB,9466,,16-bit Unsigned,Unsupported
LB-9467 : EM7's storage device (SD card) does not exist (when ON),Local HMI,LB,9467,,16-bit Unsigned,Unsupported
LB-9468 : EM8's storage device (SD card) does not exist (when ON),Local HMI,LB,9468,,16-bit Unsigned,Unsupported
LB-9469 : EM9's storage device (SD card) does not exist (when ON),Local HMI,LB,9469,,16-bit Unsigned,Unsupported
LB-9470 : EM0's storage device (USB disk) does not exist (when ON),Local HMI,LB,9470,,16-bit Unsigned,Supported
LB-9471 : EM1's storage device (USB disk) does not exist (when ON),Local HMI,LB,9471,,16-bit Unsigned,Supported
LB-9472 : EM2's storage device (USB disk) does not exist (when ON),Local HMI,LB,9472,,16-bit Unsigned,Supported
LB-9473 : EM3's storage device (USB disk) does not exist (when ON),Local HMI,LB,9473,,16-bit Unsigned,Supported
LB-9474 : EM4's storage device (USB disk) does not exist (when ON),Local HMI,LB,9474,,16-bit Unsigned,Supported
LB-9475 : EM5's storage device (USB disk) does not exist (when ON),Local HMI,LB,9475,,16-bit Unsigned,Supported
